,date,security,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1499,2016-01-12,NIFTY Index,7587.2,7588.3,7487.8,7510.3
1500,2016-01-13,NIFTY Index,7557.9,7590.95,7425.8,7562.4
1501,2016-01-14,NIFTY Index,7467.4,7604.8,7443.8,7536.8
1502,2016-01-15,NIFTY Index,7561.65,7566.5,7427.3,7437.8
1503,2016-01-18,NIFTY Index,7420.35,7463.65,7336.4,7351.0
1504,2016-01-19,NIFTY Index,7381.8,7462.75,7364.15,7435.1
1505,2016-01-20,NIFTY Index,7357.0,7470.9,7241.5,7309.3
1506,2016-01-21,NIFTY Index,7376.65,7398.7,7250.0,7276.8
1507,2016-01-22,NIFTY Index,7355.7,7433.4,7327.6,7422.45
1508,2016-01-25,NIFTY Index,7468.75,7487.15,7421.2,7436.15
1509,2016-01-27,NIFTY Index,7469.6,7477.9,7419.7,7437.75
1510,2016-01-28,NIFTY Index,7426.5,7468.85,7409.6,7424.65
1511,2016-01-29,NIFTY Index,7413.35,7575.65,7402.8,7563.55
1512,2016-02-01,NIFTY Index,7589.5,7600.45,7541.25,7555.95
1513,2016-02-02,NIFTY Index,7566.65,7576.3,7428.05,7455.55
1514,2016-02-03,NIFTY Index,7392.45,7419.4,7350.3,7361.8
1515,2016-02-04,NIFTY Index,7411.45,7457.05,7365.95,7404.0
1516,2016-02-05,NIFTY Index,7418.25,7503.15,7406.65,7489.1
1517,2016-02-08,NIFTY Index,7489.7,7512.55,7363.2,7387.25
1518,2016-02-09,NIFTY Index,7303.95,7323.45,7275.15,7298.2
1519,2016-02-10,NIFTY Index,7264.3,7271.85,7177.75,7215.7
1520,2016-02-11,NIFTY Index,7203.6,7208.65,6959.95,6976.35
1521,2016-02-12,NIFTY Index,7023.65,7034.8,6869.0,6980.95
1522,2016-02-15,NIFTY Index,7057.35,7182.8,7056.8,7162.95
1523,2016-02-16,NIFTY Index,7201.25,7204.65,7037.7,7048.25
1524,2016-02-17,NIFTY Index,7058.85,7123.7,6960.65,7108.45
1525,2016-02-18,NIFTY Index,7177.4,7215.1,7127.85,7191.75
1526,2016-02-19,NIFTY Index,7170.55,7226.85,7145.95,7210.75
1527,2016-02-22,NIFTY Index,7208.85,7252.4,7200.7,7234.55
1528,2016-02-23,NIFTY Index,7240.3,7241.7,7090.7,7109.55
1529,2016-02-24,NIFTY Index,7075.0,7090.8,7009.75,7018.7
1530,2016-02-25,NIFTY Index,7029.85,7034.2,6961.4,6970.6
1531,2016-02-26,NIFTY Index,7039.3,7052.9,6985.1,7029.75
1532,2016-02-29,NIFTY Index,7050.45,7094.6,6825.8,6987.05
1533,2016-03-01,NIFTY Index,7038.25,7235.5,7035.1,7222.3
1534,2016-03-02,NIFTY Index,7321.7,7380.35,7308.15,7368.85
1535,2016-03-03,NIFTY Index,7429.55,7483.95,7406.05,7475.6
1536,2016-03-04,NIFTY Index,7505.4,7505.9,7444.1,7485.35
1537,2016-03-08,NIFTY Index,7486.4,7527.15,7442.15,7485.3
1538,2016-03-09,NIFTY Index,7436.1,7539.0,7424.3,7531.8
1539,2016-03-10,NIFTY Index,7545.35,7547.1,7447.4,7486.15
1540,2016-03-11,NIFTY Index,7484.85,7543.95,7460.6,7510.2
